word,type
inflatorinen,adjektiivi
kielitieteellinen,adjektiivi
kielletty,adjektiivi
kielteinen,adjektiivi
kiero,adjektiivi
kierteetön,adjektiivi
kierteinen,adjektiivi
kihara,adjektiivi
kiharainen,adjektiivi
kiihkeä,adjektiivi
kiihkoilija,adjektiivi
kiikkerä,adjektiivi
kiikoislainen,adjektiivi
kielimäinen,adjektiivi
kiilamainen,adjektiivi
kiillottamaton,adjektiivi
kiiltonahkainen,adjektiivi
kiiltosinkitty,adjektiivi
kiiltävä,adjektiivi
kiilusilmäinen,adjektiivi
kiimainen,adjektiivi
kiiminkiläinen,adjektiivi
kiinalainen,adjektiivi
kiinankielinen,adjektiivi
kiinnikkeetön,adjektiivi
kiinnitetty,adjektiivi
kiinnittymätön,adjektiivi
kiilloton,adjektiivi
kiinnittämätön,adjektiivi
kieliläinen,adjektiivi
kielevä,adjektiivi
kestävä,adjektiivi
kesy,adjektiivi
kesytön,adjektiivi
kesäinen,adjektiivi
kesäkuinen,adjektiivi
kesälahtelainen,adjektiivi
kesävihanta,adjektiivi
kesäöinen,adjektiivi
ketogeeninen,adjektiivi
ketsupiton,adjektiivi
ketterä,adjektiivi
kettumainen,adjektiivi
kielikuvallinen,adjektiivi
kettutyttö,adjektiivi
keuruulainen,adjektiivi
keveä,adjektiivi
kevyt,adjektiivi
kevytkenkäinen,adjektiivi
keväinen,adjektiivi
kevätkylvöinen,adjektiivi
keynesiläinen,adjektiivi
kidukseton,adjektiivi
kiehtova,adjektiivi
kiekoton,adjektiivi
kielellinen,adjektiivi
kielenvastainen,adjektiivi
keuhkoton,adjektiivi
kestopäällysteinen,adjektiivi
kiinnostava,adjektiivi
kiinnostunut,adjektiivi
kimo,adjektiivi
kimpoamaton,adjektiivi
kimurantti,adjektiivi
kineettinen,adjektiivi
kinemaattinen,adjektiivi
kinkkinen,adjektiivi
kinshasankongolainen,adjektiivi
kintsana,adjektiivi
kionokorinen,adjektiivi
kipakka,adjektiivi
kiperä,adjektiivi
kipeä,adjektiivi
kimmerialainen,adjektiivi
kipsimäinen,adjektiivi
kiraalinen,adjektiivi
kireä,adjektiivi
kirgisialainen,adjektiivi
kiribatilainen,adjektiivi
kirjailtu,adjektiivi
kirjaimellinen,adjektiivi
kirjakielinen,adjektiivi
kirjallinen,adjektiivi
kirjanpidollinen,adjektiivi
kirjautumaton,adjektiivi
kirjava,adjektiivi
kirjoitettu,adjektiivi
kipsinen,adjektiivi
kiinnostumaton,adjektiivi
kimeä,adjektiivi
kimakkaääninen,adjektiivi
kiinteä,adjektiivi
kiinteäkorkoinen,adjektiivi
kiinteäsiipinen,adjektiivi
kiipeämätön,adjektiivi
kiireellinen,adjektiivi
kiireetön,adjektiivi
kiireinen,adjektiivi
kiistanalainen,adjektiivi
kiistaton,adjektiivi
kiistelty,adjektiivi
kiitettävä,adjektiivi
kiitollinen,adjektiivi
kimeerinen,adjektiivi
kiittämätön,adjektiivi
kiivasluonteinen,adjektiivi
kiivasluontoinen,adjektiivi
kikkara,adjektiivi
killeri,adjektiivi
kilpailematon,adjektiivi
kilpailuhenkinen,adjektiivi
kilpailukykyinen,adjektiivi
kilpailullinen,adjektiivi
kilpailuton,adjektiivi
kilpimäinen,adjektiivi
kiltti,adjektiivi
kimakka,adjektiivi
kiivas,adjektiivi
kirjoittamaton,adjektiivi
keskustelevainen,adjektiivi
keskiverto,adjektiivi
kaustinen,adjektiivi
kaustislainen,adjektiivi
kavala,adjektiivi
kaveriton,adjektiivi
kaviokyntinen,adjektiivi
kavokki,adjektiivi
kazakkilainen,adjektiivi
kazakstanilainen,adjektiivi
kefaalinen,adjektiivi
kefalokaudaalinen,adjektiivi
kehittymätön,adjektiivi
kehittynyt,adjektiivi
kausiluonteinen,adjektiivi
kehityksellinen,adjektiivi
kehitysopillinen,adjektiivi
kehno,adjektiivi
keihäsmäinen,adjektiivi
keihästyvinen,adjektiivi
keinotekoinen,adjektiivi
keittiötön,adjektiivi
keittämätön,adjektiivi
kekseliäs,adjektiivi
kelju,adjektiivi
keljuilematon,adjektiivi
keljumainen,adjektiivi
kellanruskea,adjektiivi
kehitysmaalainen,adjektiivi
kellertävä,adjektiivi
kausaalinen,adjektiivi
kaupunkimainen,adjektiivi
katuviisas,adjektiivi
kaudaali,adjektiivi
kaudaalinen,adjektiivi
kauhajokinen,adjektiivi
kauhea,adjektiivi
kauhee,adjektiivi
kauhia,adjektiivi
kauimmainen,adjektiivi
kaukainen,adjektiivi
kaukalomainen,adjektiivi
kaukaloton,adjektiivi
kaukasialainen,adjektiivi
kaurainen,adjektiivi
kaukokatseinen,adjektiivi
kaukotaitteinen,adjektiivi
kaulaliinaton,adjektiivi
kaulapannaton,adjektiivi
kauluksellinen,adjektiivi
kaunainen,adjektiivi
kauneudeton,adjektiivi
kauniaislainen,adjektiivi
kaunis,adjektiivi
kaunistelematon,adjektiivi
kaunokirjallinen,adjektiivi
kaupallinen,adjektiivi
kaupunkilainen,adjektiivi
kaukonäköinen,adjektiivi
keskustelematon,adjektiivi
kellokortiton,adjektiivi
kellomainen,adjektiivi
kerrattu,adjektiivi
kerronnallinen,adjektiivi
kertaluonteinen,adjektiivi
kertaluontoinen,adjektiivi
kertatyydyttymätön,adjektiivi
kertomaton,adjektiivi
keskeinen,adjektiivi
keskeneräinen,adjektiivi
keskenkasvuinen,adjektiivi
keskiafrikkalainen,adjektiivi
keskiaikainen,adjektiivi
keskiamerikkalainen,adjektiivi
kernas,adjektiivi
keskieurooppalainen,adjektiivi
keskikokoinen,adjektiivi
keskiluokkainen,adjektiivi
keskimmäinen,adjektiivi
keskimääräinen,adjektiivi
keskinen,adjektiivi
keskinkertainen,adjektiivi
keskinäinen,adjektiivi
keskipakoinen,adjektiivi
keskisuuri,adjektiivi
keskitasoinen,adjektiivi
keskittämätön,adjektiivi
keskivaikea,adjektiivi
keskihakuinen,adjektiivi
kellollinen,adjektiivi
kermainen,adjektiivi
keravalainen,adjektiivi
kelloton,adjektiivi
kellottamaton,adjektiivi
kelmeä,adjektiivi
kelpaamaton,adjektiivi
kelpo,adjektiivi
kelpoinen,adjektiivi
keltainen,adjektiivi
keltakaulainen,adjektiivi
kelttiläinen,adjektiivi
kelvokas,adjektiivi
kelvollinen,adjektiivi
kelvoton,adjektiivi
kerkeä,adjektiivi
kemiallinen,adjektiivi
kemiöläinen,adjektiivi
kengurumainen,adjektiivi
kengätön,adjektiivi
kenialainen,adjektiivi
kenkku,adjektiivi
kenkkumainen,adjektiivi
kennomainen,adjektiivi
kenotsooinen,adjektiivi
kepeä,adjektiivi
kepulainen,adjektiivi
kepuli,adjektiivi
keraaminen,adjektiivi
kemiläinen,adjektiivi
kirjoitustaidoton,adjektiivi
kirjoitustaitoinen,adjektiivi
kirkas,adjektiivi
kooperatiivinen,adjektiivi
koosteinen,adjektiivi
kopea,adjektiivi
kopioitu,adjektiivi
kopisematon,adjektiivi
koppava,adjektiivi
koppisiemeninen,adjektiivi
koptilainen,adjektiivi
kopulatiivinen,adjektiivi
korallinen,adjektiivi
korallinpunainen,adjektiivi
korea,adjektiivi
koominen,adjektiivi
korealainen,adjektiivi
korinttilainen,adjektiivi
korinttolainen,adjektiivi
koriseva,adjektiivi
korkea,adjektiivi
korkeahko,adjektiivi
korkeakorkoinen,adjektiivi
korkealaatuinen,adjektiivi
korkealentoinen,adjektiivi
korkealuokkainen,adjektiivi
korkeatasoinen,adjektiivi
korkiton,adjektiivi
korni,adjektiivi
koreankielinen,adjektiivi
korollinen,adjektiivi
koomillinen,adjektiivi
kookas,adjektiivi
kompura,adjektiivi
koneellinen,adjektiivi
konekielinen,adjektiivi
konemainen,adjektiivi
konfutselainen,adjektiivi
kongolainen,adjektiivi
konkaavi,adjektiivi
konklusiivinen,adjektiivi
konkreetti,adjektiivi
konkreettinen,adjektiivi
konkurssikypsä,adjektiivi
konnamainen,adjektiivi
kookossaarelainen,adjektiivi
konsentrinen,adjektiivi
konsessiivinen,adjektiivi
konsistoriaalinen,adjektiivi
konsonanttinen,adjektiivi
konsonoiva,adjektiivi
konstailematon,adjektiivi
konstikas,adjektiivi
kontingentti,adjektiivi
kontinuatiivinen,adjektiivi
kontiolahtelainen,adjektiivi
konu,adjektiivi
konveksi,adjektiivi
konventionaalinen,adjektiivi
konservatiivinen,adjektiivi
kompleksinen,adjektiivi
koronaalinen,adjektiivi
korpilahtelainen,adjektiivi
kotitekoinen,adjektiivi
kotkalainen,adjektiivi
kotoinen,adjektiivi
kotoisa,adjektiivi
kotoperäinen,adjektiivi
koukeroinen,adjektiivi
kouluikäinen,adjektiivi
koulumainen,adjektiivi
koulumestarimainen,adjektiivi
kouluttamaton,adjektiivi
koulutuksellinen,adjektiivi
kourasuoninen,adjektiivi
kotipolttoinen,adjektiivi
kouriintuntuva,adjektiivi
kova,adjektiivi
kovakalloinen,adjektiivi
kovakoodattu,adjektiivi
kovakorvainen,adjektiivi
kovakourainen,adjektiivi
kovakuntoinen,adjektiivi
kovakuuloinen,adjektiivi
kovakätinen,adjektiivi
kovalentti,adjektiivi
kovaluontoinen,adjektiivi
kovapintainen,adjektiivi
kovapäinen,adjektiivi
kouristusmainen,adjektiivi
koroton,adjektiivi
kotikutoinen,adjektiivi
kostumaton,adjektiivi
korporatistinen,adjektiivi
korppoolainen,adjektiivi
korpulentti,adjektiivi
korrekti,adjektiivi
korrektiivinen,adjektiivi
korska,adjektiivi
korskea,adjektiivi
korstomainen,adjektiivi
koruton,adjektiivi
korvaamaton,adjektiivi
korvallinen,adjektiivi
korvamerkitty,adjektiivi
kostuttamaton,adjektiivi
korvamerkittävä,adjektiivi
korventamaton,adjektiivi
koskematon,adjektiivi
kosketon,adjektiivi
kosketusnäytötön,adjektiivi
koskeva,adjektiivi
kosmeettinen,adjektiivi
kosminen,adjektiivi
kosmologinen,adjektiivi
kosovolainen,adjektiivi
kostea,adjektiivi
kostonhakuinen,adjektiivi
kostonhaluinen,adjektiivi
korvaukseton,adjektiivi
kompetentti,adjektiivi
kompakti,adjektiivi
komorilainen,adjektiivi
kivinen,adjektiivi
kivulias,adjektiivi
kivuton,adjektiivi
klani,adjektiivi
klassillinen,adjektiivi
klassinen,adjektiivi
klastillinen,adjektiivi
klastinen,adjektiivi
klesa,adjektiivi
kliffa,adjektiivi
kliininen,adjektiivi
kliseinen,adjektiivi
kivikova,adjektiivi
klonaalinen,adjektiivi
kloorattu,adjektiivi
klooriton,adjektiivi
kodikas,adjektiivi
kodillinen,adjektiivi
koditon,adjektiivi
koeajamaton,adjektiivi
koemaistamaton,adjektiivi
kofeiiniton,adjektiivi
kognitiivinen,adjektiivi
kohdistamaton,adjektiivi
kohdistumaton,adjektiivi
koherenssi,adjektiivi
klooraamaton,adjektiivi
koherentti,adjektiivi
kivikkoinen,adjektiivi
kiveämätön,adjektiivi
kirkkaanpunainen,adjektiivi
kirkkaanvärinen,adjektiivi
kirkkonummelainen,adjektiivi
kirkollinen,adjektiivi
kirpeä,adjektiivi
kirurginen,adjektiivi
kisakireä,adjektiivi
kissamainen,adjektiivi
kissankarvainen,adjektiivi
kissankokoinen,adjektiivi
kiteeläinen,adjektiivi
kiteetön,adjektiivi
kivikautinen,adjektiivi
kitkaton,adjektiivi
kitsas,adjektiivi
kitukasvuinen,adjektiivi
kitulias,adjektiivi
kiukaislainen,adjektiivi
kiukkuinen,adjektiivi
kiukuttelematon,adjektiivi
kiusaamaton,adjektiivi
kiusallinen,adjektiivi
kiva,adjektiivi
kiveksetön,adjektiivi
kivenkova,adjektiivi
kivetön,adjektiivi
kitkerä,adjektiivi
kohoamaton,adjektiivi
kohonnut,adjektiivi
kohtalainen,adjektiivi
kolkko,adjektiivi
kollegiaalinen,adjektiivi
kolleginen,adjektiivi
kollektiivinen,adjektiivi
kollektivistinen,adjektiivi
kollo,adjektiivi
kolmikulmainen,adjektiivi
kolmimastoinen,adjektiivi
kolmimuunteinen,adjektiivi
kolminkertainen,adjektiivi
kolmiomainen,adjektiivi
kolmiosainen,adjektiivi
kolhuton,adjektiivi
kolmipyöräinen,adjektiivi
kolmivaihtoinen,adjektiivi
kolmiviivainen,adjektiivi
kolonialistinen,adjektiivi
kolossalainen,adjektiivi
kolumbialainen,adjektiivi
komea,adjektiivi
komia,adjektiivi
kommensaalinen,adjektiivi
kommunikoimaton,adjektiivi
kommunistinen,adjektiivi
kommutatiivinen,adjektiivi
komorbidi,adjektiivi
kolmiulotteinen,adjektiivi
kolho,adjektiivi
kolesteroliton,adjektiivi
koleerinen,adjektiivi
kohtalokas,adjektiivi
kohtelias,adjektiivi
kohtikatsova,adjektiivi
kohtisuora,adjektiivi
kohtuullinen,adjektiivi
kohtuuton,adjektiivi
koillinen,adjektiivi
koiramainen,adjektiivi
koirankarvainen,adjektiivi
koiraspuolinen,adjektiivi
koisomainen,adjektiivi
koito,adjektiivi
koivistolainen,adjektiivi
kokeellinen,adjektiivi
kokematon,adjektiivi
kokemusperäinen,adjektiivi
kokemäkeläinen,adjektiivi
kokenut,adjektiivi
kokkolalainen,adjektiivi
koko,adjektiivi
kokoinen,adjektiivi
kokomusta,adjektiivi
kokonainen,adjektiivi
kokonaistaloudellinen,adjektiivi
kokonaisvaltainen,adjektiivi
kokoomuslainen,adjektiivi
kolea,adjektiivi
katuvaloton,adjektiivi
katuva,adjektiivi
katumaton,adjektiivi
katu-uskottava,adjektiivi
juliaaninen,adjektiivi
julkaisematon,adjektiivi
julkea,adjektiivi
julkinen,adjektiivi
julkisluonteinen,adjektiivi
julkisoikeudellinen,adjektiivi
julkisomisteinen,adjektiivi
julkistamaton,adjektiivi
julkisuudenkipeä,adjektiivi
julma,adjektiivi
julmettu,adjektiivi
jumalaapelkäävä,adjektiivi
juhlava,adjektiivi
jumalainen,adjektiivi
jumalanhylkäämä,adjektiivi
jumalaton,adjektiivi
jumalinen,adjektiivi
juokseva,adjektiivi
juomakelvoton,adjektiivi
juomaton,adjektiivi
juoni,adjektiivi
juonikas,adjektiivi
juoppo,adjektiivi
juopunut,adjektiivi
juoruava,adjektiivi
juosteinen,adjektiivi
jumalallinen,adjektiivi
juotava,adjektiivi
juhlallinen,adjektiivi
jugoslavialainen,adjektiivi
jokatalvinen,adjektiivi
jokaviikkoinen,adjektiivi
jokavuotinen,adjektiivi
jokaöinen,adjektiivi
jokioislainen,adjektiivi
jollainen,adjektiivi
jolsa,adjektiivi
jonkinlainen,adjektiivi
jonninjoutava,adjektiivi
joonialainen,adjektiivi
