word,type,age
aaltoimpedanssi,substantiivi,new
aaltopahvi,substantiivi,new
aaltopelti,substantiivi,new
aaltoputki,substantiivi,old
aami,substantiivi,new
aamukahvi,substantiivi,new
aamulehti,substantiivi,old
aamupahoinvointi,substantiivi,new
aamutakki,substantiivi,new
aamutähti,substantiivi,old
aaprotti,substantiivi,new
aari,substantiivi,new
aarni,substantiivi,new
aarnituli,substantiivi,old
aasi,substantiivi,new
aasiankukaali,substantiivi,new
aatami,substantiivi,new
aateli,substantiivi,new
aateliskalenteri,substantiivi,new
aatelointi,substantiivi,new
aatetoveri,substantiivi,new
aavameri,substantiivi,old
aavekaupunki,substantiivi,new
abachi,substantiivi,new
abaloni,substantiivi,new
abandonointi,substantiivi,new
abatsi,substantiivi,new
abbasidi,substantiivi,new
abessiivi,substantiivi,new
abhaasi,substantiivi,new
abi,substantiivi,new
abiturientti,substantiivi,new
ablatiivi,substantiivi,new
abnormaali,adjektiivi,new
abnormi,adjektiivi,new
abolitionismi,substantiivi,new
abolitionisti,substantiivi,new
aboriginaali,substantiivi,new
abortointi,substantiivi,new
abortti,substantiivi,new
absessi,substantiivi,new
absintti,substantiivi,new
abskessi,substantiivi,new
absolutismi,substantiivi,new
absolutisti,substantiivi,new
absoluutti,substantiivi,new
absorbointi,substantiivi,new
abstinenssi,substantiivi,new
abstrahointi,substantiivi,new
abstrakti,adjektiivi,new
absurdi,adjektiivi,new
adapteri,substantiivi,new
adaptointi,substantiivi,new
addikti,substantiivi,new
adduktori,substantiivi,new
adekvaatti,adjektiivi,new
adeniini,substantiivi,new
adeniitti,substantiivi,new
adenohypofyysi,substantiivi,new
adessiivi,substantiivi,new
adiantumi,substantiivi,new
adjektiivi,substantiivi,new
adjutantti,substantiivi,new
adjuvantti,substantiivi,new
adoptiolapsi,substantiivi,old
adoptiovanhempi,substantiivi,old
adoptointi,substantiivi,new
adrenaliini,substantiivi,new
adressaatti,substantiivi,new
adressi,substantiivi,new
adsorbointi,substantiivi,new
adventismi,substantiivi,new
adventisti,substantiivi,new
adventti,substantiivi,new
adventtikalenteri,substantiivi,new
adverbi,substantiivi,new
adverbiaali,substantiivi,new
advokaatti,substantiivi,new
aerobi,substantiivi,new
aerosoli,substantiivi,new
affekti,substantiivi,new
affiksi,substantiivi,new
affiniteetti,substantiivi,new
afgaani,substantiivi,new
aforismi,substantiivi,new
afrihili,substantiivi,new
afrikaaneri,substantiivi,new
afrikandi,substantiivi,new
afrikanpingviini,substantiivi,new
afääri,substantiivi,new
agaatti,substantiivi,new
agentti,substantiivi,new
agentuuri,substantiivi,new
aggregaatti,substantiivi,new
aggregointi,substantiivi,new
agitaattori,substantiivi,new
agitointi,substantiivi,new
agnostisismi,substantiivi,new
agonisti,substantiivi,new
agrologi,substantiivi,new
agronomi,substantiivi,new
ahdekaunokki,substantiivi,new
ahkerointi,substantiivi,new
ahmatti,substantiivi,new
ahteri,substantiivi,new
ahti,substantiivi,new
aiempi,adjektiivi,old
aikaisempi,adjektiivi,old
aikakausi,substantiivi,old
aikakauslehti,substantiivi,old
aikamerkki,substantiivi,new
aikapommi,substantiivi,new
aikaväli,substantiivi,new
ailakki,substantiivi,new
aioli,substantiivi,new
aioni,substantiivi,new
aisapari,substantiivi,new
aisti,substantiivi,new
aitalikusteri,substantiivi,new
aitovieri,substantiivi,old
aituri,substantiivi,new
aivofilmi,substantiivi,new
aivokapasiteetti,substantiivi,new
aivokirurgi,substantiivi,new
aivokuori,substantiivi,old
aivoriihi,substantiivi,old
ajoankkuri,substantiivi,new
ajojahti,substantiivi,new
ajokeli,substantiivi,new
ajokki,substantiivi,new
ajokortti,substantiivi,new
ajopeli,substantiivi,new
ajuri,substantiivi,new
akaasiakumi,substantiivi,new
akaatti,substantiivi,new
akanhuuli,substantiivi,old
akankaali,substantiivi,new
akantti,substantiivi,new
akarisidi,substantiivi,new
akkadi,substantiivi,new
akklimatisointi,substantiivi,new
akkreditointi,substantiivi,new
akkumulaattori,substantiivi,new
akkusatiivi,substantiivi,new
akoluutti,substantiivi,new
akordi,substantiivi,new
akrobaatti,substantiivi,new
akronyymi,substantiivi,new
akrosomi,substantiivi,new
akryyli,substantiivi,new
akryyliväri,substantiivi,new
akseli,substantiivi,new
akseliväli,substantiivi,new
aksentti,substantiivi,new
aksenttimerkki,substantiivi,new
aksepti,substantiivi,new
akseptointi,substantiivi,new
akseptori,substantiivi,new
aksoni,substantiivi,new
akti,substantiivi,new
aktiini,substantiivi,new
aktiivi,adjektiivi,new
aktiivihiili,substantiivi,old
aktiiviupseeri,substantiivi,new
aktinidi,substantiivi,new
aktinoidi,substantiivi,new
aktinometri,substantiivi,new
aktiopotentiaali,substantiivi,new
aktivismi,substantiivi,new
aktivisti,substantiivi,new
aktiviteetti,substantiivi,new
aktivointi,substantiivi,new
aktuaari,substantiivi,new
aktualisointi,substantiivi,new
akupunktuuri,substantiivi,new
akuutti,adjektiivi,new
akvaariokasvi,substantiivi,new
akvamariini,substantiivi,new
akvarelli,substantiivi,new
akvaviitti,substantiivi,new
akvedukti,substantiivi,new
alabasteri,substantiivi,new
aladobi,substantiivi,new
aladominantti,substantiivi,new
alahuuli,substantiivi,old
alaindeksi,substantiivi,new
alakulttuuri,substantiivi,new
alalaji,substantiivi,new
alaluomi,substantiivi,old
alamäki,substantiivi,old
alaniiniaminotransferaasi,substantiivi,new
alapeti,substantiivi,new
alapuoli,substantiivi,old
alarmisti,substantiivi,new
alasorbi,substantiivi,new
alastonmalli,substantiivi,new
alatyyli,substantiivi,new
albaani,substantiivi,new
albatrossi,substantiivi,new
albigenssi,substantiivi,new
albinismi,substantiivi,new
albumi,substantiivi,new
albumiini,substantiivi,new
albuminoidi,substantiivi,new
aldehydi,substantiivi,new
aldoosi,substantiivi,new
aldriini,substantiivi,new
aleksandriitti,substantiivi,new
alemmuuskompleksi,substantiivi,new
alempi,adjektiivi,old
alennusmerkki,substantiivi,new
alennusmyynti,substantiivi,new
aleutti,substantiivi,new
alginaatti,substantiivi,new
algoritmi,substantiivi,new
alibi,substantiivi,new
alikersantti,substantiivi,new
aliluutnantti,substantiivi,new
aliupseeri,substantiivi,new
alivaltiosihteeri,substantiivi,new
alkaani,substantiivi,new
alkali,substantiivi,new
alkalimetalli,substantiivi,new
alkaloidi,substantiivi,new
alkeeni,substantiivi,new
alkeiskurssi,substantiivi,new
alkeislehti,substantiivi,old
alkeisvarsi,substantiivi,old
alkemisti,substantiivi,new
alkoholi,substantiivi,new
alkoholiprosentti,substantiivi,new
alkoholismi,substantiivi,new
alkoholisti,substantiivi,new
alkometri,substantiivi,new
alkovi,substantiivi,new
alkukieli,substantiivi,old
alkukoti,substantiivi,new
alkuperäiskieli,substantiivi,old
alkutalvi,substantiivi,old
alkuteksti,substantiivi,new
alkuvuosi,substantiivi,old
alkyyli,substantiivi,new
alkyyni,substantiivi,new
allatiivi,substantiivi,new
alleeli,substantiivi,new
allergeeni,substantiivi,new
alli,substantiivi,new
allianssi,substantiivi,new
alligaattori,substantiivi,new
allofoni,substantiivi,new
allografi,substantiivi,new
allokointi,substantiivi,new
allomorfi,substantiivi,new
allotrooppi,substantiivi,new
allyyli,substantiivi,new
almandiini,substantiivi,new
almoravidi,substantiivi,new
aloituslyönti,substantiivi,new
alpi,substantiivi,old
alpinismi,substantiivi,new
alpinisti,substantiivi,new
alppiorvokki,substantiivi,new
alppitähti,substantiivi,old
altimetri,substantiivi,new
altitudi,substantiivi,new
altruismi,substantiivi,new
altruisti,substantiivi,new
alttari,substantiivi,new
alttosaksofoni,substantiivi,new
alttoääni,substantiivi,old
aluemeri,substantiivi,old
aluevesi,substantiivi,old
alumiini,substantiivi,new
